ID_Cliente,Genero,Idoso,Casado,Dependentes,Tempo_como_Cliente,Servico_Telefone,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,Metodo_Pagamento,Pagamento_Mensal,Total_Pago,Churn,Pagamento_Menssal
5122-CYFXA,Female,False,False,False,3,True,DSL,False,True,True,Month-to-month,Electronic check,81.36666666666666,244.1,False,81.36666666666666
8627-ZYGSZ,Male,False,True,False,47,True,FIBER OPTIC,False,False,False,One year,Electronic check,77.66702127659575,3650.35,False,77.66702127659575
3410-YOQBQ,Female,False,False,False,31,True,DSL,False,True,True,Two year,Mailed check,80.55483870967741,2497.2,False,80.55483870967741
3170-NMYVV,Female,False,True,True,50,True,NO,,,,Two year,Bank transfer (automatic),18.618,930.9,False,18.618
7410-OIEDU,Male,False,False,False,10,True,FIBER OPTIC,True,False,False,Month-to-month,Mailed check,88.735,887.35,False,88.735
2273-QCKXA,Male,False,False,False,1,True,DSL,False,True,False,Month-to-month,Mailed check,49.05,49.05,False,49.05
0731-EBJQB,Female,False,True,True,52,True,NO,,,,One year,Electronic check,20.974038461538463,1090.65,False,20.974038461538463
1891-QRQSA,Male,True,True,True,64,True,FIBER OPTIC,True,True,True,Two year,Bank transfer (automatic),110.921875,7099.0,False,110.921875
8028-PNXHQ,Male,False,True,True,62,True,NO,,,,Two year,Bank transfer (automatic),22.97741935483871,1424.6,False,22.97741935483871
5630-AHZIL,Female,False,False,True,3,True,DSL,True,True,False,Month-to-month,Bank transfer (automatic),59.13333333333333,177.4,False,59.13333333333333
2673-CXQEU,Female,True,False,False,56,True,FIBER OPTIC,True,False,True,One year,Electronic check,109.63392857142857,6139.5,False,109.63392857142857
6416-JNVRK,Female,False,False,False,46,True,DSL,False,False,False,One year,Credit card (automatic),58.45326086956521,2688.85,False,58.45326086956521
5590-ZSKRV,Female,False,True,True,8,True,DSL,True,False,False,Month-to-month,Mailed check,60.28125,482.25,False,60.28125
0191-ZHSKZ,Male,True,False,False,30,True,DSL,True,False,True,Month-to-month,Electronic check,70.37666666666668,2111.3,False,70.37666666666668
3887-PBQAO,Female,False,True,True,45,True,NO,,,,One year,Credit card (automatic),27.035555555555554,1216.6,False,27.035555555555554
5919-TMRGD,Female,False,False,True,1,True,FIBER OPTIC,False,False,True,Month-to-month,Electronic check,79.35,79.35,True,79.35
8108-UXRQN,Female,False,True,True,11,False,DSL,True,False,True,Month-to-month,Electronic check,51.39545454545455,565.35,False,51.39545454545455
9191-MYQKX,Female,False,True,False,7,True,FIBER OPTIC,False,False,False,Month-to-month,Bank transfer (automatic),70.98571428571428,496.9,True,70.98571428571428
9919-YLNNG,Female,False,False,False,42,True,FIBER OPTIC,False,True,True,Month-to-month,Bank transfer (automatic),103.03571428571429,4327.5,False,103.03571428571429
0318-ZOPWS,Female,False,True,False,49,True,NO,,,,Two year,Bank transfer (automatic),19.864285714285714,973.35,False,19.864285714285714
4445-ZJNMU,Male,False,False,False,9,True,FIBER OPTIC,False,False,True,Month-to-month,Credit card (automatic),102.08333333333333,918.75,False,102.08333333333333
4808-YNLEU,Female,False,True,False,35,True,DSL,True,False,True,One year,Bank transfer (automatic),63.29857142857142,2215.45,False,63.29857142857142
1862-QRWPE,Female,False,True,True,48,True,NO,,,,Two year,Bank transfer (automatic),22.020833333333332,1057.0,False,22.020833333333332
2796-NNUFI,Female,False,True,True,46,True,NO,,,,Two year,Mailed check,20.15434782608696,927.1,False,20.15434782608696
3016-KSVCP,Male,False,True,False,29,False,DSL,False,False,True,Month-to-month,Mailed check,34.80172413793103,1009.25,False,34.80172413793103
4767-HZZHQ,Male,False,True,True,30,True,FIBER OPTIC,False,False,False,Month-to-month,Bank transfer (automatic),85.67333333333333,2570.2,False,85.67333333333333
2424-WVHPL,Male,True,False,False,1,True,FIBER OPTIC,False,True,False,Month-to-month,Electronic check,74.7,74.7,False,74.7
7233-PAHHL,Male,False,True,True,66,True,DSL,True,True,True,Two year,Mailed check,86.57954545454545,5714.25,False,86.57954545454545
6067-NGCEU,Female,False,False,False,65,True,FIBER OPTIC,True,False,True,Month-to-month,Credit card (automatic),109.33846153846154,7107.0,False,109.33846153846154
9848-JQJTX,Male,False,False,False,72,True,FIBER OPTIC,False,False,True,Two year,Bank transfer (automatic),103.59791666666666,7459.05,False,103.59791666666666
8637-XJIVR,Female,False,False,False,12,True,FIBER OPTIC,True,False,False,Month-to-month,Electronic check,77.27916666666667,927.35,True,77.27916666666667
9803-FTJCG,Male,False,True,True,71,True,DSL,True,True,False,One year,Credit card (automatic),66.8830985915493,4748.7,False,66.8830985915493
0278-YXOOG,Male,False,False,False,5,True,NO,,,,Month-to-month,Mailed check,22.77,113.85,True,22.77
3212-KXOCR,Male,False,False,False,52,True,NO,,,,Two year,Bank transfer (automatic),21.292307692307695,1107.2,False,21.292307692307695
4598-XLKNJ,Female,True,True,False,25,True,FIBER OPTIC,False,False,True,Month-to-month,Electronic check,100.58,2514.5,True,100.58
6380-ARCEH,Male,False,False,False,1,True,NO,,,,Month-to-month,Mailed check,20.2,20.2,False,20.2
3679-XASPY,Female,False,True,True,1,True,NO,,,,Month-to-month,Electronic check,19.45,19.45,False,19.45
7123-WQUHX,Male,False,False,False,38,True,FIBER OPTIC,False,True,True,One year,Bank transfer (automatic),94.88421052631578,3605.6,False,94.88421052631578
5386-THSLQ,Female,True,True,False,66,False,DSL,False,False,True,One year,Bank transfer (automatic),45.86742424242424,3027.25,False,45.86742424242424
3192-NQECA,Male,False,True,False,68,True,FIBER OPTIC,False,True,True,Two year,Bank transfer (automatic),111.93897058823529,7611.85,True,111.93897058823529
6180-YBIQI,Male,False,False,False,5,False,DSL,False,False,False,Month-to-month,Mailed check,20.04,100.2,False,20.04
6728-DKUCO,Female,False,True,True,72,True,FIBER OPTIC,True,False,True,One year,Electronic check,101.43125,7303.05,False,101.43125
9750-BOOHV,Female,False,False,False,32,False,DSL,True,False,False,One year,Mailed check,28.9890625,927.65,False,28.9890625
8597-CWYHH,Male,False,False,False,43,True,FIBER OPTIC,False,False,True,One year,Mailed check,91.19302325581396,3921.3,False,91.19302325581396
2848-YXSMW,Male,False,True,True,72,True,NO,,,,Two year,Credit card (automatic),18.93402777777778,1363.25,False,18.93402777777778
0486-HECZI,Male,False,True,False,55,True,FIBER OPTIC,True,False,True,Month-to-month,Electronic check,95.25272727272727,5238.9,True,95.25272727272727
4549-ZDQYY,Female,False,False,False,52,True,DSL,True,True,False,One year,Credit card (automatic),58.50480769230769,3042.25,False,58.50480769230769
5712-AHQNN,Female,False,False,False,43,True,FIBER OPTIC,False,False,True,Month-to-month,Electronic check,91.95581395348837,3954.1,False,91.95581395348837
4846-WHAFZ,Female,True,True,False,37,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,77.51756756756757,2868.15,True,77.51756756756757
5256-SKJGO,Female,False,True,True,64,False,DSL,False,True,True,Two year,Electronic check,53.4921875,3423.5,False,53.4921875
3071-VBYPO,Male,False,True,True,3,True,FIBER OPTIC,True,False,True,Month-to-month,Electronic check,82.8,248.4,False,82.8
9560-BBZXK,Female,False,False,False,36,False,DSL,True,False,False,Two year,Bank transfer (automatic),31.287499999999998,1126.35,False,31.287499999999998
5299-RULOA,Female,False,True,True,10,True,FIBER OPTIC,True,False,True,Month-to-month,Electronic check,106.465,1064.65,True,106.465
8402-OOOHJ,Female,False,False,False,41,True,NO,,,,Two year,Mailed check,20.36951219512195,835.15,False,20.36951219512195
9445-ZUEQE,Male,False,True,True,27,True,FIBER OPTIC,False,True,False,Month-to-month,Credit card (automatic),79.68888888888888,2151.6,False,79.68888888888888
1091-SOZGA,Female,False,True,True,56,True,FIBER OPTIC,False,False,True,One year,Credit card (automatic),98.49017857142857,5515.45,False,98.49017857142857
2928-HLDBA,Female,False,False,False,6,True,NO,,,,Month-to-month,Mailed check,18.791666666666668,112.75,False,18.791666666666668
0404-SWRVG,Male,False,False,False,3,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,76.51666666666667,229.55,True,76.51666666666667
6497-TILVL,Female,False,True,True,7,True,DSL,True,False,False,Month-to-month,Mailed check,50.050000000000004,350.35,False,50.050000000000004
7219-TLZHO,Female,False,True,True,4,True,NO,,,,Month-to-month,Mailed check,15.725,62.9,False,15.725
4622-YNKIJ,Male,False,False,False,33,True,FIBER OPTIC,True,True,True,Two year,Electronic check,91.7469696969697,3027.65,False,91.7469696969697
4412-YLTKF,Female,True,False,False,27,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,79.0925925925926,2135.5,True,79.0925925925926
6734-PSBAW,Male,False,True,False,72,True,NO,,,,Two year,Bank transfer (automatic),23.94375,1723.95,False,23.94375
3930-ZGWVE,Male,False,False,False,1,True,NO,,,,Month-to-month,Mailed check,19.75,19.75,False,19.75
2639-UGMAZ,Male,True,False,False,71,False,DSL,True,False,True,One year,Electronic check,56.131690140845066,3985.35,False,56.131690140845066
2876-GZYZC,Female,False,False,False,13,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,93.51153846153846,1215.65,False,93.51153846153846
6207-WIOLX,Female,False,True,True,25,False,DSL,True,False,True,Month-to-month,Credit card (automatic),60.106,1502.65,True,60.106
8587-XYZSF,Male,False,False,False,67,True,DSL,False,True,False,Two year,Bank transfer (automatic),48.65820895522388,3260.1,False,48.65820895522388
3091-FYHKI,Male,False,False,False,1,False,DSL,False,False,False,Month-to-month,Electronic check,35.45,35.45,True,35.45
2372-HWUHI,Male,False,False,False,2,True,DSL,False,False,False,Month-to-month,Electronic check,40.625,81.25,True,40.625
7799-LGRDP,Female,False,False,False,43,True,NO,,,,Two year,Credit card (automatic),27.632558139534886,1188.2,False,27.632558139534886
7850-VWJUU,Female,False,False,False,23,True,FIBER OPTIC,True,False,False,Month-to-month,Bank transfer (automatic),77.32608695652173,1778.5,False,77.32608695652173
3774-VBNXY,Female,False,True,True,64,True,NO,,,,Two year,Mailed check,19.96484375,1277.75,False,19.96484375
6217-KDYWC,Male,False,False,True,57,True,NO,,,,Two year,Mailed check,20.5359649122807,1170.55,False,20.5359649122807
0390-DCFDQ,Female,True,True,False,1,True,FIBER OPTIC,False,False,False,Month-to-month,Mailed check,70.45,70.45,True,70.45
3146-MSEGF,Female,True,True,True,72,True,DSL,True,True,True,Two year,Credit card (automatic),89.24513888888889,6425.65,False,89.24513888888889
4080-OGPJL,Female,False,False,False,8,True,DSL,True,True,False,Month-to-month,Electronic check,70.45625,563.65,True,70.45625
1095-WGNGG,Female,False,True,False,61,True,FIBER OPTIC,False,False,True,Two year,Bank transfer (automatic),97.88934426229508,5971.25,False,97.88934426229508
2636-SJDOU,Male,False,False,False,64,True,FIBER OPTIC,True,False,False,One year,Credit card (automatic),82.64140625,5289.05,False,82.64140625
1131-QQZEB,Male,True,True,False,71,True,NO,,,,Two year,Bank transfer (automatic),24.735211267605635,1756.2,False,24.735211267605635
5716-EZXZN,Female,False,True,True,65,True,FIBER OPTIC,True,True,True,Two year,Credit card (automatic),98.71846153846154,6416.7,False,98.71846153846154
6837-BJYDQ,Male,False,False,False,3,True,NO,,,,One year,Mailed check,20.45,61.35,False,20.45
2135-RXIHG,Male,False,False,False,1,True,DSL,False,False,False,Month-to-month,Electronic check,45.65,45.65,True,45.65
6440-DKQGE,Male,False,False,True,30,True,DSL,False,False,True,One year,Credit card (automatic),64.33166666666666,1929.95,False,64.33166666666666
3466-BYAVD,Male,False,True,True,15,True,DSL,False,True,False,Month-to-month,Mailed check,71.42666666666668,1071.4,False,71.42666666666668
3780-YVMFA,Female,False,True,True,8,True,DSL,False,True,True,Month-to-month,Electronic check,70.54375,564.35,False,70.54375
3874-EQOEP,Male,False,False,False,7,True,FIBER OPTIC,False,False,True,Month-to-month,Mailed check,93.64285714285714,655.5,True,93.64285714285714
1679-JRFBR,Female,False,True,True,70,True,FIBER OPTIC,True,False,True,One year,Credit card (automatic),113.29357142857143,7930.55,False,113.29357142857143
9073-ZZIAY,Male,False,True,True,62,True,DSL,True,True,True,Two year,Electronic check,84.11693548387096,5215.25,False,84.11693548387096
3077-RSNTJ,Female,False,True,True,6,True,NO,,,,Month-to-month,Mailed check,18.916666666666668,113.5,False,18.916666666666668
6551-GNYDG,Female,False,True,True,14,True,FIBER OPTIC,False,False,False,Month-to-month,Bank transfer (automatic),82.34285714285714,1152.8,False,82.34285714285714
9167-APMXZ,Female,False,False,False,22,True,FIBER OPTIC,False,False,True,Month-to-month,Bank transfer (automatic),82.81590909090909,1821.95,False,82.81590909090909
2749-CTKAJ,Male,False,True,True,22,True,NO,,,,One year,Mailed check,19.086363636363636,419.9,False,19.086363636363636
6371-NZYEG,Male,False,True,True,16,True,DSL,True,False,True,Two year,Mailed check,64.0,1024.0,False,64.0
7554-NEWDD,Male,False,False,False,10,True,NO,,,,Two year,Bank transfer (automatic),25.16,251.6,False,25.16
8992-VONJD,Female,False,False,True,13,True,DSL,True,False,False,Month-to-month,Electronic check,58.81153846153846,764.55,False,58.81153846153846
0867-MKZVY,Female,False,True,False,20,True,FIBER OPTIC,True,False,False,Month-to-month,Electronic check,79.61749999999999,1592.35,True,79.61749999999999
4482-EWFMI,Female,False,False,False,2,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,67.6,135.2,False,67.6
4648-YPBTM,Male,False,False,False,53,True,DSL,False,True,False,Two year,Bank transfer (automatic),74.68396226415095,3958.25,False,74.68396226415095
2907-ILJBN,Female,False,True,True,11,True,NO,,,,One year,Mailed check,21.263636363636365,233.9,False,21.263636363636365
6345-FZOQH,Male,False,True,False,69,True,NO,,,,Two year,Mailed check,19.76014492753623,1363.45,False,19.76014492753623
3376-BMGFE,Female,False,False,False,4,True,FIBER OPTIC,False,False,False,Month-to-month,Bank transfer (automatic),68.25,273.0,True,68.25
5997-OPVFA,Male,False,True,False,72,True,DSL,True,True,True,Two year,Bank transfer (automatic),86.86736111111111,6254.45,False,86.86736111111111
3445-HXXGF,Male,True,True,False,58,True,DSL,False,False,False,Month-to-month,Electronic check,45.710344827586205,2651.2,True,45.710344827586205
1159-WFSGR,Female,False,True,True,16,True,NO,,,,Month-to-month,Electronic check,20.0875,321.4,False,20.0875
7654-YWJUF,Male,False,True,False,43,True,FIBER OPTIC,True,True,False,One year,Bank transfer (automatic),82.30813953488372,3539.25,False,82.30813953488372
1875-QIVME,Female,False,True,False,2,True,FIBER OPTIC,False,True,True,Month-to-month,Electronic check,121.4,242.8,True,121.4
6727-IOTLZ,Male,False,True,False,14,True,DSL,False,True,True,Two year,Mailed check,84.41071428571429,1181.75,False,84.41071428571429
0691-JVSYA,Female,False,True,False,53,True,FIBER OPTIC,False,False,True,One year,Bank transfer (automatic),94.3433962264151,5000.2,True,94.3433962264151
5918-VUKWP,Female,False,False,False,32,True,NO,,,,One year,Bank transfer (automatic),20.4546875,654.55,False,20.4546875
1744-JHKYS,Female,False,True,False,34,True,NO,,,,Month-to-month,Electronic check,22.947058823529414,780.2,False,22.947058823529414
2656-FMOKZ,Female,True,False,False,15,True,FIBER OPTIC,False,False,False,Month-to-month,Mailed check,76.38000000000001,1145.7,True,76.38000000000001
2070-FNEXE,Female,True,False,False,7,True,FIBER OPTIC,True,False,False,Month-to-month,Bank transfer (automatic),71.94285714285715,503.6,True,71.94285714285715
5947-SGKCL,Female,False,True,True,15,True,FIBER OPTIC,False,False,True,Month-to-month,Bank transfer (automatic),103.95,1559.25,False,103.95
3712-PKXZA,Male,False,True,False,61,True,NO,,,,One year,Credit card (automatic),20.524590163934427,1252.0,False,20.524590163934427
6317-YPKDH,Female,False,False,False,1,True,DSL,False,False,False,Month-to-month,Bank transfer (automatic),29.95,29.95,True,29.95
6582-OIVSP,Female,False,False,False,1,True,DSL,False,False,False,Month-to-month,Mailed check,45.3,45.3,False,45.3
9367-WXLCH,Male,False,False,False,8,True,FIBER OPTIC,False,False,False,Month-to-month,Bank transfer (automatic),82.83125,662.65,True,82.83125
5524-KHNJP,Male,False,True,True,33,True,DSL,True,False,True,One year,Credit card (automatic),74.34242424242424,2453.3,False,74.34242424242424
1918-ZBFQJ,Female,False,False,False,13,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,85.51153846153846,1111.65,True,85.51153846153846
1024-GUALD,Female,False,True,False,1,True,DSL,False,False,False,Month-to-month,Electronic check,24.8,24.8,True,24.8
4827-USJHP,Male,False,False,False,20,True,DSL,False,False,False,Month-to-month,Mailed check,51.1925,1023.85,False,51.1925
8167-GJLRN,Male,False,False,False,3,True,DSL,False,True,False,Month-to-month,Electronic check,27.383333333333336,82.15,False,27.383333333333336
0956-SYCWG,Female,False,False,False,13,True,NO,,,,One year,Electronic check,18.83076923076923,244.8,False,18.83076923076923
8017-UVSZU,Female,False,True,False,40,True,DSL,False,False,False,Month-to-month,Credit card (automatic),59.4775,2379.1,False,59.4775
7100-FQPRV,Male,False,True,True,43,True,DSL,True,True,False,One year,Credit card (automatic),73.79883720930232,3173.35,False,73.79883720930232
2472-OVKUP,Male,False,True,False,6,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,88.5,531.0,True,88.5
2984-RGEYA,Female,False,True,True,69,True,NO,,,,Two year,Bank transfer (automatic),19.933333333333334,1375.4,False,19.933333333333334
9680-NIAUV,Female,False,True,True,72,True,FIBER OPTIC,True,False,True,Two year,Credit card (automatic),112.90694444444445,8129.3,False,112.90694444444445
2146-EGVDT,Male,False,True,True,59,True,NO,,,,Two year,Credit card (automatic),20.215254237288136,1192.7,False,20.215254237288136
2604-IJPDU,Female,False,True,False,20,True,FIBER OPTIC,True,True,True,Month-to-month,Electronic check,95.08250000000001,1901.65,False,95.08250000000001
9178-JHUVJ,Male,False,True,True,24,True,NO,,,,Two year,Bank transfer (automatic),24.474999999999998,587.4,False,24.474999999999998
6168-YBYNP,Male,False,False,False,59,True,FIBER OPTIC,False,True,True,Month-to-month,Electronic check,110.5042372881356,6519.75,False,110.5042372881356
7255-SSFBC,Male,False,True,True,72,True,FIBER OPTIC,False,True,True,Two year,Bank transfer (automatic),111.68958333333333,8041.65,False,111.68958333333333
3645-DEYGF,Male,False,False,True,1,True,NO,,,,Month-to-month,Mailed check,20.75,20.75,False,20.75
9323-HGFWY,Female,False,True,False,27,True,FIBER OPTIC,True,True,True,One year,Credit card (automatic),99.30185185185185,2681.15,False,99.30185185185185
8544-GOQSH,Female,False,False,False,14,True,FIBER OPTIC,False,True,False,Month-to-month,Credit card (automatic),79.45,1112.3,False,79.45
3363-DTIVD,Male,False,True,True,71,True,FIBER OPTIC,True,False,True,Two year,Electronic check,104.30281690140845,7405.5,False,104.30281690140845
7018-WBJNK,Male,False,False,True,13,True,FIBER OPTIC,False,False,True,Month-to-month,Credit card (automatic),79.53461538461539,1033.95,False,79.53461538461539
9142-KZXOP,Male,False,False,False,44,True,FIBER OPTIC,False,False,False,Month-to-month,Credit card (automatic),67.24886363636364,2958.95,False,67.24886363636364
7674-YTAFD,Female,False,False,False,33,True,FIBER OPTIC,False,True,False,One year,Bank transfer (automatic),81.35909090909091,2684.85,False,81.35909090909091
6348-SNFUS,Male,False,True,True,72,True,DSL,True,True,False,Two year,Credit card (automatic),58.044444444444444,4179.2,False,58.044444444444444
1285-OKIPP,Male,False,False,False,1,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,79.9,79.9,True,79.9
7825-ECJRF,Female,False,False,False,19,True,FIBER OPTIC,True,True,True,Month-to-month,Electronic check,101.81315789473685,1934.45,True,101.81315789473685
1347-KTTTA,Male,False,True,False,64,True,FIBER OPTIC,False,True,True,One year,Credit card (automatic),103.9703125,6654.1,False,103.9703125
7841-TZDMQ,Male,False,False,False,2,True,DSL,False,False,False,Month-to-month,Credit card (automatic),42.25,84.5,True,42.25
4195-NZGTA,Female,False,False,False,1,True,DSL,False,False,False,Month-to-month,Electronic check,25.25,25.25,False,25.25
7157-SMCFK,Male,False,False,True,61,True,NO,,,,Two year,Mailed check,18.42950819672131,1124.2,False,18.42950819672131
4709-LKHYG,Female,False,True,True,29,True,NO,,,,One year,Electronic check,18.622413793103448,540.05,False,18.622413793103448
2504-DSHIH,Male,True,True,False,23,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,85.90652173913043,1975.85,False,85.90652173913043
0699-NDKJM,Female,False,True,False,57,True,DSL,True,False,True,Month-to-month,Bank transfer (automatic),60.30614035087719,3437.45,False,60.30614035087719
